passenger_id,full_name,age,gender,nationality,marital_status,occupation,class,ticket_number,ticket_price,cabin_deck,embarkation_port,travel_purpose,journey_duration_days,siblings_spouses,parents_children,family_size,is_alone,family_survival_rate,boarding_position,lifeboat_access,medical_condition,mobility_score,emergency_response_time,evacuation_priority,wealth_index,age_group,fare_per_person,family_risk_score,survival_probability,survived
T2-000001,Michael Williams,65.3,Male,UK,Single,Student,3,877714,262.18,E,Cherbourg,Leisure,4,1,1,3,0,0.97,537,0.41,Unknown,66.6,6.9,Low,0.55,Senior,87.39,0.92,0.2395,0
T2-000002,Mateo Lopez,66.5,Female,France,Married,Tech,3,732611,126.18,F,Southampton,Leisure,8,0,0,1,1,0.95,511,0.44,Unknown,66.6,4.0,High,0.24,Senior,126.18,0.6,0.3392,1
T2-000003,Joseph Miller,22.4,Female,Australia,Married,Engineering,3,229194,97.53,F,Southampton,Family Visit,12,2,0,3,0,0.03,260,0.3,Unknown,83.9,24.5,High,0.3,Adult,32.51,1.01,0.0609,0
T2-000004,David Garcia,37.1,Male,UK,Married,Military,3,548357,186.24,E,Southampton,Business,9,0,1,2,0,0.68,643,0.39,Unknown,82.7,15.0,Low,0.79,Middle_Aged,93.12,0.79,0.0279,0
T2-000005,Linda Ali,27.8,Male,USA,Married,Student,2,252609,697.0,E,Southampton,Leisure,3,2,0,3,0,0.16,931,0.24,Unknown,86.8,5.8,Low,1.44,Adult,232.33,1.06,0.6045,1
T2-000006,Yuki Davis,75.3,Female,UK,Single,Tourism,3,745218,104.45,G,New York,Leisure,12,0,0,1,1,0.36,411,0.0,Unknown,70.3,57.7,High,0.45,Senior,104.45,0.95,0.0169,0
T2-000007,Michael Jones,42.4,Female,USA,Married,Healthcare,1,504960,918.47,A,Southampton,Leisure,5,0,0,1,1,0.21,832,0.83,Unknown,84.4,30.8,High,3.1,Middle_Aged,918.47,0.29,0.474,1
T2-000008,Sofia Gonzalez,42.3,Male,Canada,Married,Education,3,797746,159.82,E,Southampton,Leisure,8,0,1,2,0,0.37,843,0.65,Cardiovascular,52.1,12.7,Low,0.01,Middle_Aged,79.91,0.58,0.232,0
T2-000009,Lars Gonzalez,36.8,Male,UK,Married,Tech,3,662984,149.22,Unknown,Queenstown,Leisure,10,1,0,2,0,0.7,32,0.17,Unknown,79.0,19.7,Low,0.5,Middle_Aged,74.61,0.96,0.206,0
T2-000010,David Ivanov,19.2,Female,India,Married,Unknown,3,574104,157.92,G,Southampton,Leisure,13,0,1,2,0,0.56,33,0.17,Mild Chronic,81.9,20.9,High,0.36,Adult,78.96,0.96,0.2638,0
T2-000011,David Smith,35.3,Male,UK,Single,Engineering,2,362887,733.21,D,Cherbourg,Leisure,10,1,0,2,0,0.17,340,0.59,Unknown,82.6,10.3,Low,1.74,Middle_Aged,366.6,0.63,0.2673,0
T2-000012,Elena Wilson,23.8,Non-Binary,Japan,Single,Tech,1,169135,659.67,B,Southampton,Relocation,6,2,0,3,0,0.0,932,0.84,Unknown,88.9,26.7,Medium,2.06,Adult,219.89,0.58,0.6088,0
T2-000013,Yuki Brown,38.3,Male,USA,Married,Engineering,3,431507,186.14,G,Queenstown,Leisure,12,0,0,1,1,0.73,380,0.23,Unknown,83.6,39.5,Low,-0.12,Middle_Aged,186.14,0.77,0.0659,0
T2-000014,Patricia Ivanov,52.0,Female,UK,Married,Tourism,1,115623,856.66,B,Southampton,Leisure,3,0,0,1,1,0.26,711,0.95,Unknown,74.5,19.2,High,2.47,Middle_Aged,856.66,0.19,0.3478,0
T2-000015,Linda Silva,21.1,Female,India,Single,Unknown,2,688208,551.29,D,New York,Leisure,9,0,0,1,1,0.79,219,0.6,Unknown,82.8,61.3,High,1.19,Adult,551.29,0.47,0.1185,0
T2-000016,Elena Smith,73.9,Male,Canada,Married,Student,2,744571,594.12,D,Southampton,Business,5,0,0,1,1,0.0,812,0.57,Unknown,59.9,14.3,Low,1.08,Senior,594.12,0.49,0.395,0
T2-000017,John Wilson,31.8,Male,China,Single,Tech,1,133972,411.98,D,Southampton,Leisure,13,0,0,1,1,0.79,844,0.58,Cardiovascular,49.8,9.1,Medium,1.13,Adult,411.98,0.49,0.0493,0
T2-000018,Fatima Müller,36.4,Female,Germany,Single,Healthcare,3,260723,44.21,G,Cherbourg,Leisure,3,1,2,4,0,0.23,800,0.17,Unknown,76.7,17.7,High,0.02,Middle_Aged,11.05,1.26,0.3862,0
T2-000019,Yuki Müller,19.6,Female,France,Married,Military,3,631946,174.92,G,Southampton,Business,6,2,0,3,0,0.73,900,0.11,Unknown,89.2,5.6,High,-0.08,Adult,58.31,1.16,0.5045,0
T2-000020,Mary Williams,15.5,Male,Canada,Single,Student,3,434205,193.89,E,Southampton,Business,5,0,1,2,0,0.71,533,0.21,Unknown,94.8,40.9,Low,0.23,Teen,96.94,0.93,0.0898,0
T2-000021,Elena Silva,23.1,Male,USA,Single,Tech,2,886160,388.97,E,Southampton,Business,5,0,1,2,0,0.44,358,0.53,Unknown,91.1,10.1,Low,0.57,Adult,194.48,0.68,0.5234,0
T2-000022,Barbara Hernandez,15.8,Female,Canada,Single,Student,2,128648,275.57,E,Southampton,Business,7,1,0,2,0,0.5,376,0.43,Unknown,84.4,28.3,High,0.67,Teen,137.78,0.76,0.2103,0
